Item ID	Item Name	Category	Quantity	Status	Location	Value (₹)	Added Date	Notes
DS-009	3D LED Fan (Holofan) 100CM - HDMI	Dead Stock	5	Dead Stock	Warehouse - Dead Stock	0	46072	100CM 3D LED holographic fans with HDMI input - Non-functional units - Ready for disposal
IT-006	Acer Nitro 5 Gaming Laptop	IT Assets	1	In Use	Office - Assigned to Pattar	75000	46072	Intel i7-1165G7, 8GB RAM, 477GB SSD - Serial: UNCES102AM28115
DS-008	ColorQ LED Aluminum Profiles	Dead Stock	900	Dead Stock	Warehouse - Dead Stock	0	46072	900 units of ColorQ aluminum profiles - Surplus stock for disposal/liquidation
EV-006	3D LED Fan (Holofan) - HDMI	Event Equipment	2	Available	Warehouse	30000	25569	HDMI input, multiple sizes (100CM), DC24V, 3D holographic display capability
OA-007	Epson Printer (EB-L485FI)	Office Assets	2	Available	Office	40000	46072	Epson EB-L485FI LCG Projector/Printer - Office equipment for presentations and printing
EV-008	Mindwave Football Wooden Box	Event Equipment	1	In Use	Warehouse	25000	46072	Interactive football game with artificial grass surface and field markings - Mindwave controlled gaming equipment
EV-009	Gym Event Cycle (Aerofit)	Event Equipment	2	In Use	Warehouse	50000	46072	Aerofit exercise bikes with electronic control systems in wooden housing - Interactive fitness equipment for events
EV-010	Laser Pointer (Red)	Electronics	9	Available	Office/Warehouse	5000	46072	Red laser pointers with USB connectors - Safety warning labels - For presentations and events
EV-011	Cycle Stand	Event Equipment	6	Available	Warehouse	12000	46072	Black metal exercise bike stands with adjustable clamp mechanisms - Support equipment for fitness events
EV-012	Run Pad (Exercise Platform)	Event Equipment	2	Available	Warehouse	8000	46072	Yellow exercise platforms with black footprint markings - Interactive running/stepping pads for fitness events
