Item ID,Item Name,Category,Sub-Category,Quantity,Status,Location,Value (₹),Added Date,Notes
EC-080,SD Card Reader Module,Electronics,Storage,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,150,2026-02-20,SPI interface SD/TF card reader module - Supports SD and microSD cards - 3.3V/5V compatible - For data logging
EC-081,Piezoelectric Buzzers,Electronics,Audio,24,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,240,2026-02-20,Active piezoelectric buzzers for audio alerts
EC-082,28BYJ-48 5V Stepper Motors,Electronics,Motors,3,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,450,2026-02-20,28BYJ-48 5V DC stepper motors - 4-phase 5-wire unipolar - 64:1 gear reduction - 5V operation - For precise position control and robotics
EC-083,Fingerprint Sensor Module,Electronics,Sensors,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,800,2026-02-20,Optical fingerprint sensor module - UART/TTL interface - 500 DPI resolution - Stores up to 1000 fingerprints - For biometric authentication and access control
EC-084,MH Infrared Obstacle Sensor Modules,Electronics,Sensors,17,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,510,2026-02-20,MH Series IR infrared obstacle avoidance sensors - Adjustable detection range (2-30cm) - Digital output - For obstacle detection
EC-085,IR Flame Detection Modules,Electronics,Sensors,3,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,300,2026-02-20,Infrared flame detection sensors - Detects fire/flame via IR light - Adjustable sensitivity - Analog and digital output - For fire detection and safety systems
EC-086,Sound Sensor Modules,Electronics,Sensors,3,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,150,2026-02-20,Sound detection sensor modules with electret microphone and LM393 comparator - Adjustable sensitivity - Analog and digital output - For sound detection and noise monitoring
EC-087,Current Sensor Modules,Electronics,Sensors,4,Available,Embedded Soldering station - 2nd Cupboard - Sensor Box,400,2026-02-20,Hall effect current sensor modules (ACS712 type) - Measures DC and AC current - Analog output - Screw terminals for current path - For current monitoring and power measurement
EC-088,INA219 DC Current Sensors,Electronics,Sensors,3,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,450,2026-02-20,INA219 I2C current/power monitor - Measures current
EC-089,I2C Logic Level Converters - 4 Channel,Electronics,Interface,3,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,150,2026-02-20,4-channel bi-directional logic level converter - Converts between 3.3V and 5V logic levels - I2C
EC-090,Soil Moisture Sensors,Electronics,Sensors,6,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,300,2026-02-20,Soil moisture detection sensors - Measures soil humidity/wetness - Probe type with comparator module - Analog and digital output - For plant monitoring
EC-091,Touch Sensor Modules,Electronics,Sensors,2,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,100,2026-02-20,TTP223 capacitive touch sensor modules - Digital output - Touch-sensitive pad - Low power consumption - For touch buttons
